species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	63.6363636364	68848	1127.28915529	62.725586142
OTU-10135	Lactobacillus ruminis	284763	249	100.0	393010	203.004775901	11.2957651533
OTU-01769	Bifidobacterium sp.	82953	76	100.0	90967	162.188661049	9.0246400244
OTU-20438	Escherichia coli	3069	5	100.0	1413	67.843597263	3.77501139289
OTU-01788	Bifidobacterium sp.	13704	16	93.75	5838	62.9109748978	3.50054620566
OTU-20408	Enterobacter cloacae	5328	10	80.0	1295	35.9480105105	2.00024990867
OTU-20491	Klebsiella pneumoniae	4329	14	78.5714285714	866	29.3331023331	1.63217753721
OTU-01770	Bifidobacterium sp.	324933	298	99.6644295302	34332	15.6268615376	0.869523178599
OTU-20493	Klebsiella pneumoniae	11613	19	78.9473684211	935	11.8405235512	0.658840525958
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	1977	7.66794811444	0.42666651917
OTU-04846	Prevotella HGM04846	9006	14	78.5714285714	288	4.71996446813	0.262632294868
OTU-12236	Coprococcus eutactus	295593	280	96.4285714286	9042	4.51343908685	0.251140633183
OTU-05079	Prevotellamassilia sp.	325293	228	99.1228070175	7776	3.53501919808	0.196698557936
OTU-20409	Enterobacter hormaechei	79326	91	64.8351648352	1685	3.13435695737	0.174404567281
OTU-05026	Prevotella copri	402	2	50.0	8	2.94776119403	0.164021846422
OTU-12863	DTU089 HGM12863	76347	78	79.4871794872	1220	2.34585510891	0.130530073868
OTU-14006	Acidaminococcus fermentans	37521	38	92.1052631579	546	2.14330641507	0.119259686423
OTU-10138	Lactobacillus salivarius	335043	298	88.5906040268	4673	2.04431968434	0.113751782194
OTU-20495	Klebsiella oxytoca	46884	55	76.3636363636	602	1.89282057845	0.105321939529
OTU-12149	Lachnospiraceae sp.	20577	18	66.6666666667	252	1.81027360645	0.100728790399
OTU-12939	Ruminococcus sp.	28980	44	81.8181818182	355	1.79378881988	0.0998115298225
OTU-08832	Elusimicrobiaceae HGM08832	232224	246	91.4634146341	2796	1.7705103693	0.0985162503903
OTU-12115	Fusicatenibacter saccharivorans	52290	50	96.0	612	1.73281698221	0.0964188827474
OTU-19512	Sutterella sp.	290154	274	94.5255474453	3217	1.6343631313	0.0909406294728
OTU-13255	Ruminococcaceae sp.	290982	285	93.3333333333	3149	1.60196163337	0.0891377176463
OTU-12087	Butyrivibrio crossotus	314817	292	88.0136986301	3278	1.53047643552	0.0851600772028
OTU-20414	Enterobacter aerogenes	230433	276	81.1594202899	2338	1.4968732777	0.0832903015907
OTU-12556	Lachnospiraceae sp.	225399	199	89.9497487437	2078	1.35798295467	0.0755620475927
OTU-13276	Faecalibacterium HGM13276	222	1	100.0	2	1.35135135135	0.0751930462558
OTU-20496	Klebsiella oxytoca	31206	43	48.8372093023	284	1.33903736461	0.0745078608865
OTU-20407	Enterobacter cloacae	97008	124	79.8387096774	825	1.25785502227	0.0699906436456
OTU-13284	Faecalibacterium HGM13284	171	1	100.0	2	1.10526315789	0.0614999967798
OTU-04934	Prevotella sp.	127434	126	73.8095238095	947	1.09513159753	0.0609362478434
OTU-01737	Gardnerella vaginalis	550764	300	98.6666666667	4047	1.08431923655	0.0603346172175
OTU-05060	Prevotella sp.	2640	5	40.0	19	1.06590909091	0.0593102241671
OTU-12697	Oscillospirales HGM12697	40803	60	65.0	297	1.05781437639	0.0588598111473
OTU-13389	Ruminococcus sp.	28464	27	81.4814814815	191	0.989495503092	0.0550583540391
OTU-12039	Blautia sp.	63324	71	73.2394366197	401	0.931653085718	0.0518398368409
OTU-05233	Homeothermaceae sp.	305580	279	84.9462365591	1865	0.899731657831	0.0500636374822
OTU-13128	ER4 sp.	16134	21	85.7142857143	99	0.896119995042	0.0498626742561
OTU-11980	Bacteroides pectinophilus	412965	299	88.9632107023	2346	0.836681074667	0.0465553230741
OTU-13311	Faecalibacterium sp.	37905	43	72.0930232558	193	0.753884711779	0.0419482971232
OTU-20410	Enterobacter cloacae	28317	33	57.5757575758	137	0.716919165166	0.0398914286015
OTU-12838	DTU089 sp.	9495	12	58.3333333333	44	0.684781463928	0.0381031951763
OTU-04351	Eggerthellaceae sp.	15378	20	55.0	70	0.671868903629	0.0373847034658
OTU-13278	Faecalibacterium HGM13278	41202	37	78.3783783784	181	0.633561477598	0.0352531689433
OTU-12270	Dorea longicatena	38346	52	57.6923076923	164	0.623220153341	0.0346777481451
OTU-11569	PeH17 sp.	317958	290	73.1034482759	1275	0.591499506224	0.0329127208015
OTU-13127	ER4 sp.	102381	109	61.4678899083	367	0.530743008957	0.0295320558806
OTU-12170	Lachnospiraceae sp.	173394	146	73.9726027397	567	0.48320011073	0.026886633325
